Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UCY2V560MHD,MP,350.0,56.00,12.5,30.5,-40,105,12000,6.01,0.24,884,590,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V560MHD6,MP,350.0,56.00,16.0,20.0,-40,105,10000,6.60,0.24,884,565,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V680MHD,MP,350.0,68.00,12.5,35.5,-40,105,12000,7.06,0.24,1052,695,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V680MHD3,MP,350.0,68.00,16.0,25.0,-40,105,12000,8.20,0.24,1052,700,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V680MHD6,MP,350.0,68.00,18.0,20.0,-40,105,10000,9.00,0.24,1052,690,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V820MHD6,MP,350.0,82.00,12.5,40.0,-40,105,12000,7.57,0.24,1248,785,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V820MHD9,MP,350.0,82.00,16.0,25.0,-40,105,12000,8.20,0.24,1248,700,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V820MHD,MP,350.0,82.00,16.0,30.5,-40,105,12000,9.60,0.24,1248,740,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V820MHD3,MP,350.0,82.00,18.0,25.0,-40,105,12000,10.60,0.24,1248,765,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V101MHD,MP,350.0,100.00,16.0,30.5,-40,105,12000,9.60,0.24,1500,825,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
