Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
100,330,0.08,0.038,16,25,0.08,0.322,2.0,1.88,1.0,1.7,0.12,EKZE101E□□331ML25S,1700,33000.0
100,330,0.08,0.045,18,20,0.08,0.322,2.0,1.88,1.0,1.7,0.14,EKZE101E□□331MM20S,1500,33000.0
100,390,0.068,0.032,12.5,40,0.08,0.272,2.0,1.88,1.0,1.7,0.095,EKZE101E□□391MK40S,1800,39000.0
100,470,0.056,0.032,16,31.5,0.08,0.226,2.0,1.88,1.0,1.7,0.095,EKZE101E□□471MLN3S,1850,47000.0
100,470,0.056,0.036,18,25,0.08,0.226,2.0,1.88,1.0,1.7,0.11,EKZE101E□□471MM25S,1750,47000.0
100,560,0.047,0.029,16,35.5,0.08,0.189,2.0,1.88,1.0,1.7,0.086,EKZE101E□□561MLP1S,2000,56000.0
100,560,0.047,0.03,18,31.5,0.08,0.189,2.0,1.88,1.0,1.7,0.09,EKZE101E□□561MMN3S,1900,56000.0
100,680,0.056,0.027,16,40,0.08,0.156,1.67,1.58,1.0,1.45,0.081,EKZE101E□□681ML40S,2200,68000.0
100,680,0.056,0.027,18,35.5,0.08,0.156,1.67,1.58,1.0,1.45,0.081,EKZE101E□□681MMP1S,2200,68000.0
100,820,0.046,0.026,18,40,0.08,0.129,1.67,1.58,1.0,1.45,0.077,EKZE101E□□821MM40S,2700,82000.0
