Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
35,560,0.08,0.071,0.045,10,25,0.12,0.284,0.09,ELXZ350E□□561MJ25S,1440,1353.6,720,1224,19600
35,680,0.094,0.084,0.037,10,30,0.12,0.234,0.074,ELXZ350E□□681MJ30S,1690,1598.92,1011.98,1467.37,23800
35,680,0.094,0.084,0.038,12.5,20,0.12,0.234,0.076,ELXZ350E□□681MK20S,1660,1570.54,994.01,1441.32,23800
35,1000,0.074,0.067,0.038,12.5,20,0.12,0.186,0.076,ELXZ350E□□102MK20S,1660,1570.54,994.01,1441.32,35000
35,1000,0.074,0.067,0.03,12.5,25,0.12,0.186,0.06,ELXZ350E□□102MK25S,1950,1844.91,1167.66,1693.11,35000
35,1200,0.062,0.055,0.025,12.5,30,0.12,0.155,0.05,ELXZ350E□□122MK30S,2310,2185.51,1383.23,2005.69,42000
35,1200,0.062,0.055,0.029,16,20,0.12,0.155,0.058,ELXZ350E□□122ML20S,2210,2090.9,1323.35,1918.86,42000
35,1500,0.05,0.044,0.022,12.5,35,0.12,0.124,0.044,ELXZ350E□□152MK35S,2510,2374.73,1502.99,2179.34,52500
35,1800,0.041,0.037,0.017,12.5,40,0.12,0.103,0.034,ELXZ350E□□182MK40S,2870,2715.33,1718.56,2491.92,63000
35,1800,0.041,0.037,0.022,16,25,0.12,0.103,0.044,ELXZ350E□□182ML25S,2560,2422.04,1532.93,2222.75,63000
35,1800,0.041,0.037,0.028,18,20,0.12,0.103,0.056,ELXZ350E□□182MM20S,2490,2355.81,1491.02,2161.98,63000
35,2200,0.06,0.055,0.022,16,25,0.12,0.096,0.044,ELXZ350E□□222ML25S,2560,2444.51,1924.81,2309.77,77000
35,2200,0.06,0.055,0.019,16,30,0.12,0.096,0.038,ELXZ350E□□222ML30S,3010,2874.21,2263.16,2715.79,77000
35,2200,0.06,0.055,0.028,18,20,0.12,0.096,0.056,ELXZ350E□□222MM20S,2490,2377.67,1872.18,2246.62,77000
35,2200,0.06,0.055,0.02,18,25,0.12,0.096,0.04,ELXZ350E□□222MM25S,2740,2616.39,2060.15,2472.18,77000
35,2700,0.049,0.044,0.017,16,35,0.12,0.079,0.034,ELXZ350E□□272ML35S,3150,3007.89,2368.42,2842.11,94500
35,2700,0.049,0.044,0.018,18,30,0.12,0.079,0.036,ELXZ350E□□272MM30S,3330,3179.77,2503.76,3004.51,94500
35,3300,0.045,0.041,0.015,16,40,0.12,0.072,0.03,ELXZ350E□□332ML40S,3710,3542.63,2789.47,3347.37,115500
35,3300,0.045,0.041,0.016,18,35,0.12,0.072,0.032,ELXZ350E□□332MM35S,3680,3513.98,2766.92,3320.3,115500
35,3900,0.038,0.035,0.015,18,40,0.12,0.061,0.03,ELXZ350E□□392MM40S,3800,3628.57,2857.14,3428.57,136500
35,4700,0.043,0.041,0.015,18,40,0.12,0.056,0.03,ELXZ350E□□472MM40S,3800,3703.39,3220.34,3606.78,164500
50,22,1.191,0.965,0.9,5,11.5,0.1,6.029,1.8,ELXZ500E□□220MEB5D,155,139.5,62,116.56,1100
50,47,0.557,0.452,0.45,6.3,11.5,0.1,2.822,0.9,ELXZ500E□□470MFB5D,260,234,104,195.52,2350
50,68,0.385,0.312,0.31,6.3,15,0.1,1.95,0.62,ELXZ500E□□680MF15D,360,324,144,270.72,3400
50,100,0.262,0.212,0.22,8,12,0.1,1.326,0.44,ELXZ500E□□101MH12D,485,436.5,194,364.72,5000
50,120,0.218,0.177,0.16,8,15,0.1,1.105,0.32,ELXZ500E□□121MH15D,635,571.5,254,477.52,6000
50,120,0.218,0.177,0.16,10,12.5,0.1,1.105,0.32,ELXZ500E□□121MJC5S,620,558,248,466.24,6000
50,180,0.146,0.118,0.12,8,20,0.1,0.737,0.24,ELXZ500E□□181MH20D,730,657,292,548.96,9000
50,180,0.146,0.118,0.13,10,16,0.1,0.737,0.26,ELXZ500E□□181MJ16S,850,765,340,639.2,9000
50,220,0.171,0.151,0.088,10,20,0.1,0.603,0.18,ELXZ500E□□221MJ20S,1050,987,525,892.5,11000
50,330,0.114,0.1,0.073,10,25,0.1,0.402,0.15,ELXZ500E□□331MJ25S,1250,1175,625,1062.5,16500
50,390,0.096,0.085,0.054,10,30,0.1,0.34,0.11,ELXZ500E□□391MJ30S,1500,1410,750,1275,19500
