Voltage,Capacitance,ESR(est.) 20°C@10kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,10kHz.1,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
25,150,0.227,0.2,6.3,11,1.0,-40,105,0.13,1.149,7000,2.25,1.0,1.88,0.66,38,4000,UHW1E151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,3750.0,Normal,0.59
25,180,0.189,0.2,6.3,11,1.0,-40,105,0.13,0.958,7000,2.25,1.0,1.88,0.66,45,4000,UHW1E181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,4500.0,Normal,0.59
25,330,0.148,0.1,8,11.5,1.0,-40,105,0.13,0.522,9000,1.88,1.0,1.7,0.36,83,3000,UHW1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,8250.0,Normal,1.19
25,390,0.125,0.054,8,15,1.0,-40,105,0.13,0.442,10000,1.88,1.0,1.7,0.17,98,2000,UHW1E391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,9750.0,Normal,1.36
25,470,0.104,0.048,10,12.5,1.0,-40,105,0.13,0.367,10000,1.88,1.0,1.7,0.15,118,2000,UHW1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,11750.0,Normal,1.49
25,560,0.087,0.038,8,20,1.0,-40,105,0.13,0.308,10000,1.88,1.0,1.7,0.12,140,2000,UHW1E561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,14000.0,Normal,1.66
25,680,0.102,0.03,10,16,1.0,-40,105,0.13,0.254,10000,1.58,1.0,1.45,0.09,170,1800,UHW1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,17000.0,Normal,1.77
25,820,0.084,0.03,10,16,1.0,-40,105,0.13,0.21,10000,1.58,1.0,1.45,0.09,205,1800,UHW1E821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,20500.0,Normal,1.77
25,820,0.084,0.02,10,20,1.0,-40,105,0.13,0.21,10000,1.58,1.0,1.45,0.06,205,1400,UHW1E821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,20500.0,Normal,2.34
25,1000,0.08,0.02,10,20,1.0,-40,105,0.13,0.199,10000,1.58,1.0,1.45,0.06,250,1400,UHW1E102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,25000.0,Normal,2.34
25,1200,0.066,0.017,10,25,1.0,-40,105,0.13,0.166,10000,1.58,1.0,1.45,0.051,300,1200,UHW1E122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,30000.0,Normal,3.07
25,1500,0.053,0.017,12.5,20,1.0,-40,105,0.13,0.133,10000,1.58,1.0,1.45,0.051,375,1000,UHW1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,37500.0,Normal,3.43
25,1800,0.044,0.015,12.5,25,1.0,-40,105,0.13,0.111,10000,1.58,1.0,1.45,0.045,450,800,UHW1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,45000.0,Normal,4.56
