Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,VC,Vibration resistant,Weight (g)
63,100,10,12.5,-40,85,0.1,1.326,2000,1.5,1.0,1.34,1.23,0.8,189,2000,UKW1J101MPD,Uni-Polar,Radial Lead,Standard,300,MP,6300.0,Normal,1.49
63,220,10,16,-40,85,0.1,0.603,2000,1.5,1.0,1.34,1.23,0.8,416,1800,UKW1J221MPD,Uni-Polar,Radial Lead,Standard,470,MP,13860.0,Normal,1.77
63,330,10,20,-40,85,0.1,0.402,2000,1.5,1.0,1.34,1.23,0.8,624,1400,UKW1J331MPD,Uni-Polar,Radial Lead,Standard,650,MP,20790.0,Normal,2.34
63,470,12.5,20,-40,85,0.1,0.282,2000,1.5,1.0,1.34,1.23,0.8,888,1000,UKW1J471MHD,Uni-Polar,Radial Lead,Standard,880,MP,29610.0,Normal,3.43
63,1000,16,25,-40,85,0.1,0.159,2000,1.15,1.0,1.13,1.1,0.85,1890,400,UKW1J102MHD,Uni-Polar,Radial Lead,Standard,1300,MP,63000.0,Normal,8.2
63,2200,18,35.5,-40,85,0.12,0.096,2000,1.15,1.0,1.13,1.1,0.85,4158,250,UKW1J222MHD,Uni-Polar,Radial Lead,Standard,2200,MP,138600.0,Normal,14.2
63,3300,20,40,-40,85,0.14,0.08,2000,1.15,1.0,1.13,1.1,0.85,6237,150,UKW1J332MRD,Uni-Polar,Radial Lead,Standard,2700,EOL,207900.0,Normal,19.6
63,4700,22,50,-40,85,0.16,0.068,2000,1.15,1.0,1.13,1.1,0.85,8883,250,UKW1J472MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,296100.0,Normal,27.4
63,6800,25,50,-40,85,0.2,0.062,2000,1.15,1.0,1.13,1.1,0.85,12852,140,UKW1J682MRD,Uni-Polar,Radial Lead,Standard,3500,EOL,428400.0,Normal,38.8
100,2.2,5,11,-40,85,0.08,48.229,2000,,,,,,7,6000,UKW2A2R2MDD,Uni-Polar,Radial Lead,Standard,30,EOL,220.00000000000003,Normal,0.44
100,3.3,5,11,-40,85,0.08,32.153,2000,,,,,,10,6000,UKW2A3R3MDD,Uni-Polar,Radial Lead,Standard,40,EOL,330.0,Normal,0.44
100,4.7,5,11,-40,85,0.08,22.575,2000,,,,,,14,6000,UKW2A4R7MDD,Uni-Polar,Radial Lead,Standard,45,EOL,470.0,Normal,0.44
100,10,6.3,11,-40,85,0.08,10.61,2000,,,,,,30,4000,UKW2A100MED,Uni-Polar,Radial Lead,Standard,75,EOL,1000.0,Normal,0.59
100,22,6.3,11,-40,85,0.08,4.823,2000,,,,,,66,4000,UKW2A220MED,Uni-Polar,Radial Lead,Standard,120,EOL,2200.0,Normal,0.59
100,33,8,11.5,-40,85,0.08,3.215,2000,2.0,1.0,1.57,1.35,0.75,99,3000,UKW2A330MPD,Uni-Polar,Radial Lead,Standard,160,MP,3300.0,Normal,1.19
100,47,10,12.5,-40,85,0.08,2.258,2000,2.0,1.0,1.57,1.35,0.75,141,2000,UKW2A470MPD,Uni-Polar,Radial Lead,Standard,210,MP,4700.0,Normal,1.49
100,100,10,20,-40,85,0.08,1.061,2000,1.5,1.0,1.34,1.23,0.8,300,1400,UKW2A101MPD,Uni-Polar,Radial Lead,Standard,350,MP,10000.0,Normal,2.34
100,220,12.5,25,-40,85,0.08,0.482,2000,1.5,1.0,1.34,1.23,0.8,660,800,UKW2A221MHD,Uni-Polar,Radial Lead,Standard,600,MP,22000.0,Normal,4.56
100,330,12.5,25,-40,85,0.08,0.322,2000,1.5,1.0,1.34,1.23,0.8,990,800,UKW2A331MHD,Uni-Polar,Radial Lead,Standard,750,MP,33000.0,Normal,4.56
100,470,16,25,-40,85,0.08,0.226,2000,1.5,1.0,1.34,1.23,0.8,1410,400,UKW2A471MHD,Uni-Polar,Radial Lead,Standard,1000,MP,47000.0,Normal,8.2
100,1000,18,40,-40,85,0.08,0.133,2000,1.15,1.0,1.13,1.1,0.85,3000,200,UKW2A102MHD,Uni-Polar,Radial Lead,Standard,1370,MP,100000.0,Normal,17.7
100,2200,22,50,-40,85,0.1,0.084,2000,1.15,1.0,1.13,1.1,0.85,6600,250,UKW2A222MRD,Uni-Polar,Radial Lead,Standard,2400,EOL,220000.0,Normal,27.4
100,3300,25,50,-40,85,0.12,0.072,2000,1.15,1.0,1.13,1.1,0.85,9900,140,UKW2A332MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,330000.0,Normal,38.8
