Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Status,VC,Vibration resistant,Weight (g)
16,560,0.16,0.075,10,20,-55,105,0.379,5000,0.15,269,1400,UPM1C561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,775,,,MP,8960,Normal,2.34
16,560,0.16,0.08,12.5,15,-55,105,0.379,5000,0.16,269,1200,UPM1C561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,750,,,MP,8960,Normal,2.96
16,680,0.16,0.065,10,20,-55,105,0.312,5000,0.13,326,1400,UPM1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1100,1100,880,1056,941.6,MP,10880,Normal,2.34
16,680,0.16,0.07,12.5,15,-55,105,0.312,5000,0.14,326,1200,UPM1C681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1025,1025,820,984,877.4,MP,10880,Normal,2.96
16,820,0.16,0.055,10,25,-55,105,0.259,5000,0.11,394,1200,UPM1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1070,,,MP,13120,Normal,3.07
16,820,0.16,0.06,12.5,15,-55,105,0.259,5000,0.12,394,1200,UPM1C821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,900,,,MP,13120,Normal,2.96
16,1000,0.16,0.047,10,30.5,-55,105,0.239,5000,0.094,480,1000,UPM1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1464,1464,1220,1427.4,1305.4,MP,16000,Normal,3.21
16,1000,0.16,0.055,16,15,-55,105,0.239,5000,0.11,480,700,UPM1C102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1320,1320,1100,1287,1177,MP,16000,Normal,4.74
16,1200,0.16,0.041,12.5,20,-55,105,0.199,5000,0.082,576,1000,UPM1C122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1250,,,MP,19200,Normal,3.43
16,1200,0.16,0.046,16,15,-55,105,0.199,5000,0.092,576,700,UPM1C122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1220,,,MP,19200,Normal,4.74
16,1500,0.16,0.036,12.5,25,-55,105,0.159,5000,0.072,720,800,UPM1C152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1698.3,1698.3,1530,1667.7,1621.8,MP,24000,Normal,4.56
16,1500,0.16,0.041,18,15,-55,105,0.159,5000,0.082,720,400,UPM1C152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1554,1554,1400,1526,1484,MP,24000,Normal,6.31
