Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
63,10,11.937,2100,5,11,-55,105,0.09,2000,19,6000,UPS1J100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,110,EOL,Normal,0.44
63,22,5.426,980,6.3,11,-55,105,0.09,2000,42,4000,UPS1J220MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,0.59
63,33,3.617,710,6.3,11,-55,105,0.09,2000,62,4000,UPS1J330MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,220,EOL,Normal,0.59
63,47,2.54,650,8,11.5,-55,105,0.09,2000,89,3000,UPS1J470MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,310,MP,Normal,1.19
63,100,1.194,310,10,12.5,-55,105,0.09,2000,189,2000,UPS1J101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,390,MP,Normal,1.49
63,150,0.796,250,10,16,-55,105,0.09,2000,284,1800,UPS1J151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,440,MP,Normal,1.77
63,220,0.543,200,10,20,-55,105,0.09,2000,416,1400,UPS1J221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,700,MP,Normal,2.34
63,330,0.362,120,12.5,20,-55,105,0.09,3000,624,1000,UPS1J331MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,980,MP,Normal,3.43
63,470,0.254,81,12.5,25,-55,105,0.09,3000,888,800,UPS1J471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1200,MP,Normal,4.56
63,680,0.176,58,16,25,-55,105,0.09,3000,1285,400,UPS1J681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1300,MP,Normal,8.2
63,1000,0.119,49,16,30.5,-55,105,0.09,3000,1890,300,UPS1J102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1380,MP,Normal,9.6
63,1500,0.08,38,18,35.5,-55,105,0.09,3000,2835,250,UPS1J152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1750,MP,Normal,14.2
63,2200,0.066,32,18,40,-55,105,0.11,3000,4158,200,UPS1J222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2120,MP,Normal,17.7
100,2.2,48.229,9800,5,11,-55,105,0.08,2000,7,6000,UPS2A2R2MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,44,EOL,Normal,0.44
100,3.3,32.153,6600,5,11,-55,105,0.08,2000,10,6000,UPS2A3R3MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,58,EOL,Normal,0.44
100,4.7,22.575,4600,5,11,-55,105,0.08,2000,14,6000,UPS2A4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,74,EOL,Normal,0.44
100,10,10.61,1800,6.3,11,-55,105,0.08,2000,30,4000,UPS2A100MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,130,EOL,Normal,0.59
100,22,4.823,680,8,11.5,-55,105,0.08,2000,66,3000,UPS2A220MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,230,MP,Normal,1.19
100,33,3.215,460,10,12.5,-55,105,0.08,2000,99,2000,UPS2A330MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,320,MP,Normal,1.49
100,47,2.258,370,10,16,-55,105,0.08,2000,141,1800,UPS2A470MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,420,MP,Normal,1.77
100,100,1.061,180,12.5,20,-55,105,0.08,3000,300,1000,UPS2A101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,580,MP,Normal,3.43
100,150,0.707,130,12.5,25,-55,105,0.08,3000,450,800,UPS2A151MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,710,MP,Normal,4.56
100,220,0.482,100,16,25,-55,105,0.08,3000,660,400,UPS2A221MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,890,MP,Normal,8.2
100,330,0.322,90,16,25,-55,105,0.08,3000,990,400,UPS2A331MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1080,MP,Normal,8.2
100,470,0.226,76,16,30.5,-55,105,0.08,3000,1410,300,UPS2A471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1310,MP,Normal,9.6
100,680,0.156,64,16,35.5,-55,105,0.08,3000,2040,300,UPS2A681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1410,MP,Normal,11.8
100,1000,0.106,47,18,40,-40,105,0.08,3000,3000,200,UPS2A102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1520,MP,Normal,17.7
160,0.47,423.285,,6.3,11,-40,105,0.15,2000,48,4000,UPS2CR47MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,12,EOL,Normal,0.59
160,1,198.944,,6.3,11,-40,105,0.15,2000,56,4000,UPS2C010MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,17,EOL,Normal,0.59
160,2.2,90.429,,6.3,11,-40,105,0.15,2000,75,4000,UPS2C2R2MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,25,EOL,Normal,0.59
160,3.3,60.286,,8,11.5,-40,105,0.15,2000,93,3000,UPS2C3R3MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,36,EOL,Normal,1.19
160,4.7,42.328,,8,11.5,-40,105,0.15,2000,115,3000,UPS2C4R7MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,43,EOL,Normal,1.19
160,10,19.894,,10,12.5,-40,105,0.15,2000,164,2000,UPS2C100MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,70,EOL,Normal,1.49
160,22,9.043,,10,20,-40,105,0.15,2000,241,1400,UPS2C220MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,130,EOL,Normal,2.34
160,33,6.029,,12.5,20,-40,105,0.15,3000,311,1000,UPS2C330MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,EOL,Normal,3.43
160,47,4.233,,12.5,25,-40,105,0.15,3000,401,800,UPS2C470MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,220,EOL,Normal,4.56
160,100,1.989,,16,25,-40,105,0.15,3000,740,400,UPS2C101MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,330,EOL,Normal,8.2
160,220,0.904,,18,35.5,-40,105,0.15,3000,1508,250,UPS2C221MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,500,EOL,Normal,14.2
160,220,0.904,,20,31,-40,105,0.15,3000,1508,200,UPS2C221MRD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,500,EOL,Normal,13.7
