Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,V,VC,Vibration resistant,Weight (g)
450,68,0.2,16,35.5,-40,105,3.901,2000,1324,300,UPZ2W680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,686,686,490,637,588,392,MP,200,30600,Normal,11.8
450,68,0.2,16,35.5,-40,105,3.901,2000,1324,300,UPZ2W680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,735,735,490,686,612.5,392,MP,400 to 450,30600,Normal,11.8
450,82,0.2,12.5,50,-40,105,3.235,2000,1576,400,UPZ2W820MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1022,1022,730,949,876,584,LTB,200,36900,Normal,10.4
450,82,0.2,12.5,50,-40,105,3.235,2000,1576,400,UPZ2W820MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1095,1095,730,1022,912.5,584,LTB,400 to 450,36900,Normal,10.4
450,82,0.2,16,40,-40,105,3.235,2000,1576,300,UPZ2W820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,770,770,550,715,660,440,MP,200,36900,Normal,14.1
450,82,0.2,16,40,-40,105,3.235,2000,1576,300,UPZ2W820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,825,825,550,770,687.5,440,MP,400 to 450,36900,Normal,14.1
450,82,0.2,18,30.5,-40,105,3.235,2000,1576,300,UPZ2W820MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,770,770,550,715,660,440,MP,200,36900,Normal,13.1
450,82,0.2,18,30.5,-40,105,3.235,2000,1576,300,UPZ2W820MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,825,825,550,770,687.5,440,MP,400 to 450,36900,Normal,13.1
450,100,0.2,18,35.5,-40,105,2.653,2000,1900,250,UPZ2W101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,910,910,650,845,780,520,MP,200,45000,Normal,14.2
450,100,0.2,18,35.5,-40,105,2.653,2000,1900,250,UPZ2W101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,975,975,650,910,812.5,520,MP,400 to 450,45000,Normal,14.2
450,120,0.2,18,40,-40,105,2.21,2000,2260,200,UPZ2W121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1036,1036,740,962,888,592,MP,200,54000,Normal,17.7
450,120,0.2,18,40,-40,105,2.21,2000,2260,200,UPZ2W121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1110,1110,740,1036,925,592,MP,400 to 450,54000,Normal,17.7
