Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
25,1500,0.14,0.038,16,25,-55,105,0.141,3000,1125,400,UPS1E152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,37500,Normal,8.2
25,2200,0.16,0.038,16,25,-55,105,0.121,3000,1650,400,UPS1E222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,55000,Normal,8.2
25,3300,0.18,0.033,16,30.5,-55,105,0.096,3000,2475,300,UPS1E332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,2350,2043.48,2309.13,2247.83,1757.39,MP,82500,Normal,9.6
25,4700,0.2,0.03,18,35.5,-55,105,0.079,3000,3525,250,UPS1E472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,2700,2347.83,2653.04,2582.61,2019.13,MP,117500,Normal,14.2
25,6800,0.24,0.027,18,40,-55,105,0.07,3000,5100,200,UPS1E682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,3300,2869.57,3242.61,3156.52,2467.83,MP,170000,Normal,17.7
35,4.7,0.12,1.5,5,11,-55,105,33.863,2000,5,6000,UPS1V4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,,,,,,EOL,164.5,Normal,0.44
35,10,0.12,1.5,5,11,-55,105,15.916,2000,11,6000,UPS1V100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,,,,,,EOL,350,Normal,0.44
35,22,0.12,1.5,5,11,-55,105,7.234,2000,23,6000,UPS1V220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,770,Normal,0.44
35,33,0.12,1.5,5,11,-55,105,4.823,2000,35,6000,UPS1V330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,1155,Normal,0.44
35,47,0.12,0.5,6.3,11,-55,105,3.386,2000,49,4000,UPS1V470MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,42.52,162.41,99.91,,EOL,1645,Normal,0.59
