Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,V,VC,Vibration resistant,Weight (g)
35,47,0.988,5,11,-40,85,0.14,3.951,2000,2.0,2.0,1.0,1.57,1.35,0.75,49,6000,UVR1V470MDD,Uni-Polar,Radial Lead,Standard,130,EOL,6.3 to 100,1645.0,Normal,0.44
35,47,1.543,5,11,-40,85,0.14,3.951,2000,1.6,1.6,1.0,1.4,1.25,0.8,49,6000,UVR1V470MDD,Uni-Polar,Radial Lead,Standard,130,EOL,160 to 450,1645.0,Normal,0.44
35,100,0.825,6.3,11,-40,85,0.14,1.857,2000,1.5,1.5,1.0,1.34,1.23,0.8,105,4000,UVR1V101MED,Uni-Polar,Radial Lead,Standard,210,EOL,6.3 to 100,3500.0,Normal,0.59
35,100,0.725,6.3,11,-40,85,0.14,1.857,2000,1.6,1.6,1.0,1.4,1.25,0.8,105,4000,UVR1V101MED,Uni-Polar,Radial Lead,Standard,210,EOL,160 to 450,3500.0,Normal,0.59
35,220,0.375,10,12.5,-40,85,0.14,0.844,2000,1.5,1.5,1.0,1.34,1.23,0.8,231,2000,UVR1V221MPD,Uni-Polar,Radial Lead,Standard,385,MP,6.3 to 100,7700.0,Normal,1.49
35,220,0.33,10,12.5,-40,85,0.14,0.844,2000,1.6,1.6,1.0,1.4,1.25,0.8,231,2000,UVR1V221MPD,Uni-Polar,Radial Lead,Standard,385,MP,160 to 450,7700.0,Normal,1.49
35,330,0.25,10,12.5,-40,85,0.14,0.563,2000,1.5,1.5,1.0,1.34,1.23,0.8,347,2000,UVR1V331MPD,Uni-Polar,Radial Lead,Standard,490,MP,6.3 to 100,11550.0,Normal,1.49
35,330,0.425,10,12.5,-40,85,0.14,0.563,2000,1.15,1.15,1.0,1.13,1.1,0.9,347,2000,UVR1V331MPD,Uni-Polar,Radial Lead,Standard,490,MP,160 to 450,11550.0,Normal,1.49
35,470,0.176,10,16,-40,85,0.14,0.395,2000,1.5,1.5,1.0,1.34,1.23,0.8,494,1800,UVR1V471MPD,Uni-Polar,Radial Lead,Standard,650,MP,6.3 to 100,16450.0,Normal,1.77
35,1000,0.16,12.5,20,-40,85,0.14,0.212,2000,1.15,1.15,1.0,1.13,1.1,0.85,1050,1000,UVR1V102MHD,Uni-Polar,Radial Lead,Standard,1150,MP,6.3 to 100,35000.0,Normal,3.43
35,2200,0.091,16,25,-40,85,0.16,0.121,2000,1.15,1.15,1.0,1.13,1.1,0.85,2310,400,UVR1V222MHD,Uni-Polar,Radial Lead,Standard,1800,MP,6.3 to 100,77000.0,Normal,8.2
