Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
16,1200,0.177,0.041,12.5,20,-55,105,0.16,5000,0.082,576,1000,UPM1C122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
16,1200,0.177,0.046,16,15,-55,105,0.16,5000,0.092,576,700,UPM1C122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,MP,Normal,4.74
16,1500,0.141,0.036,12.5,25,-55,105,0.16,5000,0.072,720,800,UPM1C152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,4.56
16,1500,0.141,0.041,18,15,-55,105,0.16,5000,0.082,720,400,UPM1C152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1400,MP,Normal,6.31
16,1800,0.118,0.032,12.5,30.5,-55,105,0.16,5000,0.064,864,600,UPM1C182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1690,MP,Normal,6.01
16,1800,0.118,0.037,16,20,-55,105,0.16,5000,0.074,864,600,UPM1C182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,6.6
16,2200,0.109,0.028,12.5,30.5,-55,105,0.18,5000,0.056,1056,600,UPM1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1800,MP,Normal,6.01
16,2200,0.109,0.033,16,20,-55,105,0.18,5000,0.066,1056,600,UPM1C222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1620,MP,Normal,6.6
16,2700,0.088,0.025,12.5,35.5,-55,105,0.18,5000,0.05,1296,500,UPM1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,7.06
16,2700,0.088,0.03,16,25,-55,105,0.18,5000,0.06,1296,400,UPM1C272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1970,MP,Normal,8.2
