Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,5600,,,0.036,18,20,,,0.09,ELXV6R3E□□562MM20S,1940,,,,35280
6.3,6800,,,0.025,16,30,,,0.063,ELXV6R3E□□682ML30S,2510,,,,42840
6.3,6800,,,0.027,18,25,,,0.068,ELXV6R3E□□682MM25S,2350,,,,42840
6.3,8200,,,0.022,16,35,,,0.055,ELXV6R3E□□822ML35S,2770,,,,51660
6.3,10000,,,0.018,16,40,,,0.045,ELXV6R3E□□103ML40S,3110,,,,63000
6.3,10000,,,0.024,18,30,,,0.06,ELXV6R3E□□103MM30S,2720,,,,63000
6.3,12000,,,0.021,18,35,,,0.053,ELXV6R3E□□123MM35S,3050,,,,75600
6.3,15000,,,0.017,18,40,,,0.043,ELXV6R3E□□153MM40S,3300,,,,94500
10,82,,,0.72,5,11.5,,,1.8,ELXV100E□□820MEB5D,165,,,,820
10,180,,,0.38,6.3,11.5,,,0.95,ELXV100E□□181MFB5D,255,,,,1800
10,270,,,0.27,6.3,15,,,0.68,ELXV100E□□271MF15D,330,,,,2700
10,330,,,0.2,8,12,,,0.5,ELXV100E□□331MH12D,415,,,,3300
10,390,,,0.12,10,12.5,,,0.3,ELXV100E□□391MJC5S,635,,,,3900
10,470,,,0.16,8,15,,,0.4,ELXV100E□□471MH15D,495,,,,4700
10,680,,,0.11,8,20,,,0.28,ELXV100E□□681MH20D,640,,,,6800
10,680,,,0.084,10,16,,,0.21,ELXV100E□□681MJ16S,825,,,,6800
10,1000,,,0.062,10,20,,,0.16,ELXV100E□□102MJ20S,1060,,,,10000
10,1200,,,0.052,10,25,,,0.13,ELXV100E□□122MJ25S,1260,,,,12000
10,1500,,,0.044,10,30,,,0.11,ELXV100E□□152MJ30S,1450,,,,15000
10,1800,,,0.046,12.5,20,,,0.12,ELXV100E□□182MK20S,1360,,,,18000
