Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
50,22,0.1,0.34,5,11,-40,105,6.029,2000,1.18,11,6000,UHD1H220MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,238,,,,,EOL,1100,Normal,0.44
50,56,0.1,0.14,6.3,11,-40,105,2.368,2000,0.5,28,4000,UHD1H560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,385,,,,,EOL,2800,Normal,0.59
50,100,0.1,0.074,8,11.5,-40,105,1.326,3000,0.22,50,3000,UHD1H101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,724,688.56,506.29,612.62,435.41,MP,5000,Normal,1.19
50,120,0.1,0.061,8,15,-40,105,1.105,3000,0.18,60,2000,UHD1H121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,903.5,664.34,803.85,571.33,MP,6000,Normal,1.36
50,150,0.1,0.061,10,12.5,-40,105,0.884,4000,0.18,75,2000,UHD1H151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,979,931.08,684.62,828.38,588.77,MP,7500,Normal,1.49
50,180,0.1,0.046,8,20,-40,105,0.737,3000,0.14,90,2000,UHD1H181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1190,1131.75,832.17,1006.92,715.66,MP,9000,Normal,1.66
50,220,0.1,0.042,10,16,-40,105,0.603,4000,0.12,110,1800,UHD1H221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1370,1302.94,958.04,1159.23,823.92,MP,11000,Normal,1.77
50,270,0.1,0.03,10,20,-40,105,0.491,4000,0.09,135,1400,UHD1H271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1580,1502.66,1104.9,1336.92,950.21,MP,13500,Normal,2.34
50,330,0.1,0.028,10,25,-40,105,0.402,4000,0.085,165,1200,UHD1H331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1870,1778.46,1307.69,1582.31,1124.62,MP,16500,Normal,3.07
50,470,0.1,0.027,12.5,20,-40,105,0.282,5000,0.068,235,1000,UHD1H471MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2050,2019.17,1541.35,1849.62,1340.98,MP,23500,Normal,3.43
50,560,0.1,0.023,12.5,25,-40,105,0.237,5000,0.059,280,800,UHD1H561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2410,2373.76,1812.03,2174.44,1576.47,MP,28000,Normal,4.56
50,680,0.1,0.021,12.5,30.5,-40,105,0.195,5000,0.052,340,600,UHD1H681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2860,2816.99,2150.38,2580.45,1870.83,MP,34000,Normal,6.01
50,820,0.1,0.019,12.5,35.5,-40,105,0.162,5000,0.051,410,500,UHD1H821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2960,2915.49,2225.56,2670.68,1936.24,MP,41000,Normal,7.06
50,820,0.1,0.023,16,20,-40,105,0.162,5000,0.059,410,600,UHD1H821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2730,2688.95,2052.63,2463.16,1785.79,MP,41000,Normal,6.6
50,1000,0.1,0.021,16,25,-40,105,0.159,5000,0.056,500,400,UHD1H102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3010,2964.74,2263.16,2715.79,1968.95,MP,50000,Normal,8.2
