Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
350,39,8.162,12.5,25,-40,105,0.24,12000,646,800,UCY2V390MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,455,MP,Normal,4.56
350,47,6.773,12.5,25,-40,105,0.24,12000,758,800,UCY2V470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,510,MP,Normal,4.56
350,47,6.773,16,20,-40,105,0.24,10000,758,600,UCY2V470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,540,MP,Normal,6.6
350,56,5.684,12.5,30.5,-40,105,0.24,12000,884,600,UCY2V560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,590,MP,Normal,6.01
350,56,5.684,16,20,-40,105,0.24,10000,884,600,UCY2V560MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,565,MP,Normal,6.6
350,68,4.681,12.5,35.5,-40,105,0.24,12000,1052,500,UCY2V680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,695,MP,Normal,7.06
350,68,4.681,16,25,-40,105,0.24,12000,1052,400,UCY2V680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,MP,Normal,8.2
350,68,4.681,18,20,-40,105,0.24,10000,1052,400,UCY2V680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,690,MP,Normal,9.0
350,82,3.882,12.5,40,-40,105,0.24,12000,1248,400,UCY2V820MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,785,MP,Normal,7.57
350,82,3.882,16,25,-40,105,0.24,12000,1248,400,UCY2V820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,MP,Normal,8.2
350,82,3.882,16,30.5,-40,105,0.24,12000,1248,300,UCY2V820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,740,MP,Normal,9.6
350,82,3.882,18,25,-40,105,0.24,12000,1248,300,UCY2V820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,765,MP,Normal,10.6
350,100,3.183,16,30.5,-40,105,0.24,12000,1500,300,UCY2V101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,825,MP,Normal,9.6
