Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
63,390,,0.031,12.5,25,,0.093,EKY-630E□□391MK25S,1900,1786,950,1615,24570
63,470,,0.028,12.5,30,,0.084,EKY-630E□□471MK30S,2300,2162,1150,1955,29610
63,470,,0.032,16,20,,0.096,EKY-630E□□471ML20S,2000,1880,1000,1700,29610
63,560,,0.024,12.5,35,,0.072,EKY-630E□□561MK35S,2500,2350,1250,2125,35280
63,680,,0.021,12.5,40,,0.063,EKY-630E□□681MK40S,2800,2649.1,1676.65,2431.14,42840
63,680,,0.025,16,25,,0.075,EKY-630E□□681ML25S,2600,2459.88,1556.89,2257.49,42840
63,680,,0.03,18,20,,0.09,EKY-630E□□681MM20S,2500,2365.27,1497.01,2170.66,42840
63,820,,0.021,16,31.5,,0.063,EKY-630E□□821MLN3S,2850,2696.41,1706.59,2474.55,51660
63,820,,0.024,18,25,,0.072,EKY-630E□□821MM25S,2800,2649.1,1676.65,2431.14,51660
63,1000,,0.019,16,35.5,,0.057,EKY-630E□□102MLP1S,2900,2743.71,1736.53,2517.96,63000
63,1200,,0.018,16,40,,0.054,EKY-630E□□122ML40S,3400,3216.77,2035.93,2952.1,75600
63,1200,,0.02,18,31.5,,0.06,EKY-630E□□122MMN3S,3300,3122.16,1976.05,2865.27,75600
63,1500,,0.018,18,35.5,,0.054,EKY-630E□□152MMP1S,3400,3216.77,2035.93,2952.1,94500
63,1800,,0.017,18,40,,0.051,EKY-630E□□182MM40S,3500,3311.38,2095.81,3038.92,113400
80,68,,0.17,10,12.5,,0.66,EKY-800E□□680MJC5S,480,432,192,360.96,5440
80,100,,0.11,10,16,,0.47,EKY-800E□□101MJ16S,600,540,240,451.2,8000
80,120,,0.084,10,20,,0.34,EKY-800E□□121MJ20S,800,720,320,601.6,9600
80,150,,0.069,10,25,,0.28,EKY-800E□□151MJ25S,900,810,360,676.8,12000
80,150,,0.11,12.5,16,,0.34,EKY-800E□□151MK16S,750,675,300,564,12000
80,220,,0.062,12.5,20,,0.18,EKY-800E□□221MK20S,1100,1034,550,935,17600
80,330,,0.047,12.5,25,,0.14,EKY-800E□□331MK25S,1250,1175,625,1062.5,26400
80,330,,0.048,16,20,,0.15,EKY-800E□□331ML20S,1350,1269,675,1147.5,26400
80,390,,0.042,12.5,30,,0.13,EKY-800E□□391MK30S,1500,1410,750,1275,31200
80,470,,0.036,12.5,35,,0.11,EKY-800E□□471MK35S,1650,1551,825,1402.5,37600
80,470,,0.038,16,25,,0.12,EKY-800E□□471ML25S,1700,1598,850,1445,37600
80,470,,0.045,18,20,,0.14,EKY-800E□□471MM20S,1500,1410,750,1275,37600
80,560,,0.032,12.5,40,,0.095,EKY-800E□□561MK40S,1800,1692,900,1530,44800
80,680,,0.032,16,31.5,,0.095,EKY-800E□□681MLN3S,1850,1750.3,1107.78,1606.29,54400
80,680,,0.036,18,25,,0.11,EKY-800E□□681MM25S,1750,1655.69,1047.9,1519.46,54400
80,820,,0.029,16,35.5,,0.086,EKY-800E□□821MLP1S,2000,1892.22,1197.6,1736.53,65600
