Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
63,220,0.1,10,16,-55,105,0.603,2000,416,1800,UVY1J221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,536,335,469,418.75,268,MP,160 to 450,13860,Normal,1.77
63,330,0.1,10,20,-55,105,0.402,2000,624,1400,UVY1J331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,765,510,683.4,627.3,408,MP,6.3 to 100,20790,Normal,2.34
63,330,0.1,10,20,-55,105,0.402,2000,624,1400,UVY1J331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,586.5,510,576.3,561,459,MP,160 to 450,20790,Normal,2.34
63,470,0.1,12.5,20,-55,105,0.282,2000,888,1000,UVY1J471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,960,640,857.6,787.2,512,MP,6.3 to 100,29610,Normal,3.43
63,470,0.1,12.5,20,-55,105,0.282,2000,888,1000,UVY1J471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,736,640,723.2,704,576,MP,160 to 450,29610,Normal,3.43
63,1000,0.1,16,25,-55,105,0.159,2000,1890,400,UVY1J102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1069.5,930,1050.9,1023,790.5,MP,6.3 to 100,63000,Normal,8.2
63,2200,0.12,18,35.5,-55,105,0.096,2000,4158,250,UVY1J222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1897.5,1650,1864.5,1815,1402.5,MP,6.3 to 100,138600,Normal,14.2
63,3300,0.14,20,40,-55,105,0.08,2000,6237,150,UVY1J332MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2242.5,1950,2203.5,2145,1657.5,EOL,6.3 to 100,207900,Normal,19.6
63,4700,0.16,22,50,-55,105,0.068,2000,8883,250,UVY1J472MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2817.5,2450,2768.5,2695,2082.5,EOL,6.3 to 100,296100,Normal,27.4
63,6800,0.2,25,50,-55,105,0.062,2000,12852,140,UVY1J682MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3220,2800,3164,3080,2380,EOL,6.3 to 100,428400,Normal,38.8
