Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
63,560,0.053,0.03,12.5,25,0.09,0.213,2.0,1.88,1.0,1.7,0.12,EKYB630E□□561MK25S,2100,35280.0
63,680,0.063,0.026,12.5,30,0.09,0.176,1.67,1.58,1.0,1.45,0.11,EKYB630E□□681MK30S,2415,42840.0
63,680,0.063,0.028,16,20,0.09,0.176,1.67,1.58,1.0,1.45,0.12,EKYB630E□□681ML20S,2250,42840.0
63,820,0.052,0.022,12.5,35,0.09,0.146,1.67,1.58,1.0,1.45,0.088,EKYB630E□□821MK35S,2700,51660.0
63,820,0.052,0.028,18,20,0.09,0.146,1.67,1.58,1.0,1.45,0.12,EKYB630E□□821MM20S,2500,51660.0
63,1000,0.052,0.02,12.5,40,0.09,0.146,1.67,1.58,1.0,1.45,0.08,EKYB630E□□102MK40S,3000,63000.0
63,1000,0.052,0.025,16,25,0.09,0.146,1.67,1.58,1.0,1.45,0.1,EKYB630E□□102ML25S,2730,63000.0
63,1200,0.044,0.02,16,31.5,0.09,0.122,1.67,1.58,1.0,1.45,0.08,EKYB630E□□122MLN3S,3000,75600.0
63,1200,0.044,0.022,18,25,0.09,0.122,1.67,1.58,1.0,1.45,0.088,EKYB630E□□122MM25S,2800,75600.0
63,1500,0.035,0.018,16,35.5,0.09,0.097,1.67,1.58,1.0,1.45,0.072,EKYB630E□□152MLP1S,3200,94500.0
63,1500,0.035,0.018,18,31.5,0.09,0.097,1.67,1.58,1.0,1.45,0.072,EKYB630E□□152MMN3S,3300,94500.0
63,1800,0.029,0.016,16,40,0.09,0.081,1.67,1.58,1.0,1.45,0.064,EKYB630E□□182ML40S,3590,113400.0
63,1800,0.029,0.017,18,35.5,0.09,0.081,1.67,1.58,1.0,1.45,0.068,EKYB630E□□182MMP1S,3570,113400.0
63,2200,0.044,0.016,18,40,0.09,0.078,1.33,1.27,1.0,1.2,0.064,EKYB630E□□222MM40S,3670,138600.0
80,12,1.592,0.8,5,11,0.09,9.947,2.5,2.25,1.0,1.88,3.2,EKYB800E□□120ME11D,163,960.0
80,22,0.868,0.43,6.3,11,0.09,5.426,2.5,2.25,1.0,1.88,1.8,EKYB800E□□220MF11D,267,1760.0
80,39,0.49,0.18,8,11.5,0.09,3.061,2.5,2.25,1.0,1.88,0.72,EKYB800E□□390MHB5D,462,3120.0
80,56,0.341,0.14,8,15,0.09,2.132,2.5,2.25,1.0,1.88,0.56,EKYB800E□□560MH15D,585,4480.0
