Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Length,CV (µF x V),Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Part Number,Ripple Current 85°C@120Hz,VC
100,1000,0.037,18,≤1000,0.08,0.133,1.9,1.9,1,1.6,0.8,0.8,RE3-100V102M,1380.0,100000.0
100,1000,0.078,18,>1000,0.08,0.133,1.3,1.3,1,1.2,0.8,0.8,RE3-100V102M,1380.0,100000.0
160,0.47,220.461,6.3,all,0.2,564.38,1.6,1.5,1,1.3,0.8,0.8,RE3-160VR47M,15.0,75.19999999999999
160,1,103.617,6.3,all,0.2,265.258,1.6,1.5,1,1.3,0.8,0.8,RE3-160V010M,22.0,160.0
160,2.2,47.098,6.3,all,0.2,120.572,1.6,1.5,1,1.3,0.8,0.8,RE3-160V2R2M,32.0,352.0
160,3.3,31.399,6.3,all,0.2,80.381,1.6,1.5,1,1.3,0.8,0.8,RE3-160V3R3M,40.0,528.0
160,4.7,22.046,6.3,all,0.2,56.438,1.6,1.5,1,1.3,0.8,0.8,RE3-160V4R7M,48.0,752.0
160,10,10.362,8,all,0.2,26.526,1.6,1.5,1,1.3,0.8,0.8,RE3-160V100M,81.0,1600.0
160,22,4.71,10,all,0.2,12.057,1.6,1.5,1,1.3,0.8,0.8,RE3-160V220M,151.0,3520.0
160,33,3.14,10,all,0.2,8.038,1.6,1.5,1,1.3,0.8,0.8,RE3-160V330M,202.0,5280.0
160,47,2.205,12.5,all,0.2,5.644,1.6,1.5,1,1.3,0.8,0.8,RE3-160V470M,266.0,7520.0
160,100,1.036,12.5,all,0.2,2.653,1.6,1.5,1,1.3,0.8,0.8,RE3-160V101M,422.0,16000.0
160,220,0.471,16,all,0.2,1.206,1.6,1.5,1,1.3,0.8,0.8,RE3-160V221M,783.0,35200.0
160,330,0.314,18,all,0.2,0.804,1.6,1.5,1,1.3,0.8,0.8,RE3-160V331M,1080.0,52800.0
200,0.47,220.461,6.3,all,0.2,564.38,1.6,1.5,1,1.3,0.8,0.8,RE3-200VR47M,15.0,94.0
200,1,103.617,6.3,all,0.2,265.258,1.6,1.5,1,1.3,0.8,0.8,RE3-200V010M,22.0,200.0
200,2.2,47.098,6.3,all,0.2,120.572,1.6,1.5,1,1.3,0.8,0.8,RE3-200V2R2M,32.0,440.00000000000006
200,3.3,31.399,6.3,all,0.2,80.381,1.6,1.5,1,1.3,0.8,0.8,RE3-200V3R3M,40.0,660.0
200,4.7,22.046,8,all,0.2,56.438,1.6,1.5,1,1.3,0.8,0.8,RE3-200V4R7M,56.0,940.0
200,10,10.362,10,all,0.2,26.526,1.6,1.5,1,1.3,0.8,0.8,RE3-200V100M,94.0,2000.0
