Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
35,470,0.339,23,10,20,-40,105,0.12,4000,69,165,1400,UHD1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,MP,Normal,2.34
35,560,0.284,22,10,25,-40,105,0.12,4000,66,196,1200,UHD1V561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,MP,Normal,3.07
35,680,0.234,21,12.5,20,-40,105,0.12,5000,53,238,1000,UHD1V681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,MP,Normal,3.43
35,1000,0.159,18,12.5,25,-40,105,0.12,5000,45,350,800,UHD1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,MP,Normal,4.56
35,1200,0.133,16,12.5,30.5,-40,105,0.12,5000,41,420,600,UHD1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,MP,Normal,6.01
35,1200,0.133,18,16,20,-40,105,0.12,5000,45,420,600,UHD1V122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,MP,Normal,6.6
35,1500,0.106,15,12.5,35.5,-40,105,0.12,5000,39,525,500,UHD1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,MP,Normal,7.06
35,1800,0.088,16,16,25,-40,105,0.12,5000,43,630,400,UHD1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,MP,Normal,8.2
50,22,6.029,340,5,11,-40,105,0.1,2000,1180,11,6000,UHD1H220MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,238,EOL,Normal,0.44
50,56,2.368,140,6.3,11,-40,105,0.1,2000,500,28,4000,UHD1H560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,385,EOL,Normal,0.59
50,100,1.326,74,8,11.5,-40,105,0.1,3000,220,50,3000,UHD1H101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,724,MP,Normal,1.19
50,120,1.105,61,8,15,-40,105,0.1,3000,180,60,2000,UHD1H121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,MP,Normal,1.36
50,150,0.884,61,10,12.5,-40,105,0.1,4000,180,75,2000,UHD1H151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,979,MP,Normal,1.49
50,180,0.737,46,8,20,-40,105,0.1,3000,140,90,2000,UHD1H181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1190,MP,Normal,1.66
50,220,0.603,42,10,16,-40,105,0.1,4000,120,110,1800,UHD1H221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1370,MP,Normal,1.77
50,270,0.491,30,10,20,-40,105,0.1,4000,90,135,1400,UHD1H271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1580,MP,Normal,2.34
50,330,0.402,28,10,25,-40,105,0.1,4000,85,165,1200,UHD1H331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1870,MP,Normal,3.07
50,470,0.282,27,12.5,20,-40,105,0.1,5000,68,235,1000,UHD1H471MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2050,MP,Normal,3.43
50,560,0.237,23,12.5,25,-40,105,0.1,5000,59,280,800,UHD1H561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2410,MP,Normal,4.56
50,680,0.195,21,12.5,30.5,-40,105,0.1,5000,52,340,600,UHD1H681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2860,MP,Normal,6.01
50,820,0.162,19,12.5,35.5,-40,105,0.1,5000,51,410,500,UHD1H821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2960,MP,Normal,7.06
50,820,0.162,23,16,20,-40,105,0.1,5000,59,410,600,UHD1H821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2730,MP,Normal,6.6
50,1000,0.133,21,16,25,-40,105,0.1,5000,56,500,400,UHD1H102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3010,MP,Normal,8.2
