Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
80,1300,,0.028,18,35,0.13,,EGXF800E□□132MM35S,3450,3264.07,2065.87,2995.51,,,104000
80,1500,,0.023,18,40,0.10,,EGXF800E□□152MM40S,3690,3491.14,2209.58,3203.89,,,120000
100,130,,0.12,12.5,20,0.94,,EGXF101E□□131MK20S,1210,1127.72,484,992.2,,,13000
100,180,,0.082,14.5,20,0.69,,EGXF101E□□181MU20S,1450,1351.4,580,1189,,,18000
100,200,,0.082,12.5,25,0.70,,EGXF101E□□201MK25S,1800,1677.6,720,1476,,,20000
100,240,,0.062,12.5,30,0.52,,EGXF101E□□241MK30S,2290,2134.28,916,1877.8,,,24000
100,240,,0.071,16,20,0.53,,EGXF101E□□241ML20S,1580,1472.56,632,1295.6,,,24000
100,270,,0.064,14.5,25,0.52,,EGXF101E□□271MU25S,2050,1927,1025,1742.5,,,27000
100,330,,0.051,12.5,35,0.38,,EGXF101E□□331MK35S,2680,2519.2,1340,2278,,,33000
100,330,,0.057,16,25,0.39,,EGXF101E□□331ML25S,2190,2058.6,1095,1861.5,,,33000
100,330,,0.069,18,20,0.39,,EGXF101E□□331MM20S,1690,1588.6,845,1436.5,,,33000
100,360,,0.050,14.5,30,0.40,,EGXF101E□□361MU30S,2620,2462.8,1310,2227,,,36000
100,390,,0.044,12.5,40,0.33,,EGXF101E□□391MK40S,2970,2791.8,1485,2524.5,,,39000
100,390,,0.044,14.5,35,0.33,,EGXF101E□□391MU35S,2850,2679,1425,2422.5,,,39000
100,390,,0.044,16,30,0.33,,EGXF101E□□391ML30S,2770,2603.8,1385,2354.5,,,39000
100,430,,0.054,18,25,0.32,,EGXF101E□□431MM25S,2310,2171.4,1155,1963.5,,,43000
100,510,,0.038,14.5,40,0.26,,EGXF101E□□511MU40S,3230,3036.2,1615,2745.5,,,51000
100,510,,0.037,16,35,0.26,,EGXF101E□□511ML35S,3010,2829.4,1505,2558.5,,,51000
100,560,,0.043,18,30,0.26,,EGXF101E□□561MM30S,2830,2660.2,1415,2405.5,,,56000
100,620,,0.032,16,40,0.21,,EGXF101E□□621ML40S,3320,3141.08,1988.02,2882.63,,,62000
100,680,,0.034,18,35,0.19,,EGXF101E□□681MM35S,3210,3037.01,1922.16,2787.13,,,68000
100,820,,0.029,18,40,0.16,,EGXF101E□□821MM40S,3410,3226.23,2041.92,2960.78,,,82000
160,51,0.15,,10,20,,3.901,EGXF161E□□510MJ20S,900,862.24,314.69,629.37,450,223.43,8160
160,62,0.15,,10,25,,3.209,EGXF161E□□620MJ25S,1200,1149.65,419.58,839.16,600,297.9,9920
160,75,0.15,,12.5,20,,2.653,EGXF161E□□750MK20S,1220,1168.81,426.57,853.15,610,302.87,12000
160,82,0.15,,10,30,,2.426,EGXF161E□□820MJ30S,1410,1350.84,493.01,986.01,705,350.03,13120
160,100,0.15,,10,35,,1.989,EGXF161E□□101MJ35S,1600,1532.87,559.44,1118.88,800,397.2,16000
160,100,0.15,,14.5,20,,1.989,EGXF161E□□101MU20S,1340,1283.78,468.53,937.06,670,332.66,16000
160,110,0.15,,12.5,25,,1.809,EGXF161E□□111MK25S,1510,1446.64,527.97,1055.94,755,374.86,17600
160,120,0.15,,10,40,,1.658,EGXF161E□□121MJ40S,1790,1714.9,625.87,1251.75,895,444.37,19200
160,130,0.15,,16,20,,1.53,EGXF161E□□131ML20S,1500,1437.06,524.48,1048.95,750,372.38,20800
160,150,0.15,,12.5,30,,1.326,EGXF161E□□151MK30S,1770,1695.73,618.88,1237.76,885,439.41,24000
160,150,0.15,,14.5,25,,1.326,EGXF161E□□151MU25S,1610,1542.45,562.94,1125.87,805,399.69,24000
160,180,0.15,,12.5,35,,1.105,EGXF161E□□181MK35S,1970,1887.34,688.81,1377.62,985,489.06,28800
160,180,0.15,,14.5,30,,1.105,EGXF161E□□181MU30S,1880,1801.12,657.34,1314.69,940,466.71,28800
160,180,0.15,,18,20,,1.105,EGXF161E□□181MM20S,1730,1657.41,604.9,1209.79,865,429.48,28800
160,200,0.15,,12.5,40,,0.995,EGXF161E□□201MK40S,2150,2059.79,751.75,1503.5,1075,533.74,32000
160,200,0.15,,16,25,,0.995,EGXF161E□□201ML25S,1850,1772.38,646.85,1293.71,925,459.27,32000
160,220,0.15,,14.5,35,,0.904,EGXF161E□□221MU35S,2030,1944.83,709.79,1419.58,1015,503.95,35200
160,240,0.15,,18,25,,0.829,EGXF161E□□241MM25S,2050,1963.99,716.78,1433.57,1025,508.92,38400
160,270,0.15,,14.5,40,,0.737,EGXF161E□□271MU40S,2250,2155.59,786.71,1573.43,1125,558.57,43200
200,36,0.15,,10,20,,5.526,EGXF201E□□360MJ20S,900,862.24,314.69,629.37,450,223.43,7200
200,43,0.15,,10,25,,4.627,EGXF201E□□430MJ25S,1200,1149.65,419.58,839.16,600,297.9,8600
200,56,0.15,,12.5,20,,3.553,EGXF201E□□560MK20S,1220,1168.81,426.57,853.15,610,302.87,11200
200,62,0.15,,10,30,,3.209,EGXF201E□□620MJ30S,1410,1350.84,493.01,986.01,705,350.03,12400
200,75,0.15,,10,35,,2.653,EGXF201E□□750MJ35S,1600,1532.87,559.44,1118.88,800,397.2,15000
200,75,0.15,,14.5,20,,2.653,EGXF201E□□750MU20S,1340,1283.78,468.53,937.06,670,332.66,15000
200,82,0.15,,10,40,,2.426,EGXF201E□□820MJ40S,1790,1714.9,625.87,1251.75,895,444.37,16400
200,82,0.15,,12.5,25,,2.426,EGXF201E□□820MK25S,1510,1446.64,527.97,1055.94,755,374.86,16400
200,100,0.15,,12.5,30,,1.989,EGXF201E□□101MK30S,1770,1695.73,618.88,1237.76,885,439.41,20000
200,100,0.15,,16,20,,1.989,EGXF201E□□101ML20S,1500,1437.06,524.48,1048.95,750,372.38,20000
200,110,0.15,,14.5,25,,1.809,EGXF201E□□111MU25S,1610,1542.45,562.94,1125.87,805,399.69,22000
200,130,0.15,,12.5,35,,1.53,EGXF201E□□131MK35S,1970,1887.34,688.81,1377.62,985,489.06,26000
200,130,0.15,,14.5,30,,1.53,EGXF201E□□131MU30S,1880,1801.12,657.34,1314.69,940,466.71,26000
200,130,0.15,,18,20,,1.53,EGXF201E□□131MM20S,1730,1657.41,604.9,1209.79,865,429.48,26000
200,150,0.15,,12.5,40,,1.326,EGXF201E□□151MK40S,2150,2059.79,751.75,1503.5,1075,533.74,30000
200,150,0.15,,16,25,,1.326,EGXF201E□□151ML25S,1850,1772.38,646.85,1293.71,925,459.27,30000
200,160,0.15,,14.5,35,,1.243,EGXF201E□□161MU35S,2030,1944.83,709.79,1419.58,1015,503.95,32000
200,180,0.15,,18,25,,1.105,EGXF201E□□181MM25S,2050,1963.99,716.78,1433.57,1025,508.92,36000
200,200,0.15,,14.5,40,,0.995,EGXF201E□□201MU40S,2250,2155.59,786.71,1573.43,1125,558.57,40000
250,24,0.15,,10,20,,8.289,EGXF251E□□240MJ20S,900,856.76,270.27,586.49,405.41,135.14,6000
250,30,0.15,,10,25,,6.631,EGXF251E□□300MJ25S,1200,1142.34,360.36,781.98,540.54,180.18,7500
250,36,0.15,,12.5,20,,5.526,EGXF251E□□360MK20S,1220,1168.81,426.57,853.15,610,302.87,9000
250,39,0.15,,10,30,,5.101,EGXF251E□□390MJ30S,1410,1350.84,493.01,986.01,705,350.03,9750
250,47,0.15,,10,35,,4.233,EGXF251E□□470MJ35S,1600,1532.87,559.44,1118.88,800,397.2,11750
250,51,0.15,,12.5,25,,3.901,EGXF251E□□510MK25S,1510,1446.64,527.97,1055.94,755,374.86,12750
250,51,0.15,,14.5,20,,3.901,EGXF251E□□510MU20S,1340,1283.78,468.53,937.06,670,332.66,12750
250,56,0.15,,10,40,,3.553,EGXF251E□□560MJ40S,1790,1714.9,625.87,1251.75,895,444.37,14000
250,62,0.15,,16,20,,3.209,EGXF251E□□620ML20S,1500,1437.06,524.48,1048.95,750,372.38,15500
250,68,0.15,,12.5,30,,2.926,EGXF251E□□680MK30S,1770,1695.73,618.88,1237.76,885,439.41,17000
250,68,0.15,,14.5,25,,2.926,EGXF251E□□680MU25S,1610,1542.45,562.94,1125.87,805,399.69,17000
250,82,0.15,,12.5,35,,2.426,EGXF251E□□820MK35S,1970,1887.34,688.81,1377.62,985,489.06,20500
250,82,0.15,,18,20,,2.426,EGXF251E□□820MM20S,1730,1657.41,604.9,1209.79,865,429.48,20500
250,91,0.15,,14.5,30,,2.186,EGXF251E□□910MU30S,1880,1801.12,657.34,1314.69,940,466.71,22750
250,91,0.15,,16,25,,2.186,EGXF251E□□910ML25S,1850,1772.38,646.85,1293.71,925,459.27,22750
250,100,0.15,,12.5,40,,1.989,EGXF251E□□101MK40S,2150,2059.79,751.75,1503.5,1075,533.74,25000
250,100,0.15,,14.5,35,,1.989,EGXF251E□□101MU35S,2030,1944.83,709.79,1419.58,1015,503.95,25000
250,120,0.15,,18,25,,1.658,EGXF251E□□121MM25S,2050,1963.99,716.78,1433.57,1025,508.92,30000
250,130,0.15,,14.5,40,,1.53,EGXF251E□□131MU40S,2250,2155.59,786.71,1573.43,1125,558.57,32500
350,16,0.2,,10,20,,16.579,EGXF351E□□160MJ20S,460,437.9,138.14,299.76,207.21,69.07,5600
350,20,0.2,,10,25,,13.263,EGXF351E□□200MJ25S,610,580.69,183.18,397.51,274.77,91.59,7000
350,24,0.2,,12.5,20,,11.052,EGXF351E□□240MK20S,680,647.33,204.2,443.12,306.31,102.1,8400
350,27,0.2,,10,30,,9.824,EGXF351E□□270MJ30S,720,685.41,216.22,469.19,324.32,108.11,9450
350,33,0.2,,10,35,,8.038,EGXF351E□□330MJ35S,820,780.6,246.25,534.35,369.37,123.12,11550
350,33,0.2,,14.5,20,,8.038,EGXF351E□□330MU20S,870,828.2,261.26,566.94,391.89,130.63,11550
350,36,0.2,,10,40,,7.368,EGXF351E□□360MJ40S,940,900.56,328.67,657.34,470,233.36,12600
350,36,0.2,,12.5,25,,7.368,EGXF351E□□360MK25S,980,938.88,342.66,685.31,490,243.29,12600
350,43,0.2,,16,20,,6.169,EGXF351E□□430ML20S,970,929.3,339.16,678.32,485,240.8,15050
350,47,0.2,,12.5,30,,5.644,EGXF351E□□470MK30S,1210,1159.23,423.08,846.15,605,300.38,16450
350,47,0.2,,14.5,25,,5.644,EGXF351E□□470MU25S,1210,1159.23,423.08,846.15,605,300.38,16450
350,56,0.2,,12.5,35,,4.737,EGXF351E□□560MK35S,1330,1274.2,465.03,930.07,665,330.17,19600
350,56,0.2,,16,25,,4.737,EGXF351E□□560ML25S,1130,1082.59,395.1,790.21,565,280.52,19600
350,56,0.2,,18,20,,4.737,EGXF351E□□560MM20S,1060,1015.52,370.63,741.26,530,263.15,19600
350,62,0.2,,14.5,30,,4.278,EGXF351E□□620MU30S,1410,1350.84,493.01,986.01,705,350.03,21700
350,68,0.2,,12.5,40,,3.901,EGXF351E□□680MK40S,1450,1389.16,506.99,1013.99,725,359.97,23800
350,68,0.2,,14.5,35,,3.901,EGXF351E□□680MU35S,1590,1523.29,555.94,1111.89,795,394.72,23800
350,75,0.2,,18,25,,3.537,EGXF351E□□750MM25S,1200,1149.65,419.58,839.16,600,297.9,26250
350,91,0.2,,14.5,40,,2.915,EGXF351E□□910MU40S,1820,1743.64,636.36,1272.73,910,451.82,31850
400,12,0.2,,10,20,,22.105,EGXF401E□□120MJ20S,460,437.9,138.14,299.76,207.21,69.07,4800
400,16,0.2,,10,25,,16.579,EGXF401E□□160MJ25S,610,580.69,183.18,397.51,274.77,91.59,6400
400,20,0.2,,10,30,,13.263,EGXF401E□□200MJ30S,720,685.41,216.22,469.19,324.32,108.11,8000
400,20,0.2,,12.5,20,,13.263,EGXF401E□□200MK20S,680,647.33,204.2,443.12,306.31,102.1,8000
400,24,0.2,,10,35,,11.052,EGXF401E□□240MJ35S,820,780.6,246.25,534.35,369.37,123.12,9600
400,24,0.2,,14.5,20,,11.052,EGXF401E□□240MU20S,870,828.2,261.26,566.94,391.89,130.63,9600
400,27,0.2,,12.5,25,,9.824,EGXF401E□□270MK25S,980,932.91,294.29,638.62,441.44,147.15,10800
400,30,0.2,,10,40,,8.842,EGXF401E□□300MJ40S,940,894.83,282.28,612.55,423.42,141.14,12000
