Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
50,47,3.386,6.3,11,-40,85,0.12,2000,71,4000,UVR1H470MED,Uni-Polar,Radial Lead,Standard,155,EOL,Normal,0.59
50,100,1.592,8,11.5,-40,85,0.12,2000,150,3000,UVR1H101MPD,Uni-Polar,Radial Lead,Standard,260,MP,Normal,1.19
50,220,0.723,10,12.5,-40,85,0.12,2000,330,2000,UVR1H221MPD,Uni-Polar,Radial Lead,Standard,430,MP,Normal,1.49
50,330,0.482,10,16,-40,85,0.12,2000,495,1800,UVR1H331MPD,Uni-Polar,Radial Lead,Standard,590,MP,Normal,1.77
50,470,0.339,12.5,20,-40,85,0.12,2000,705,1000,UVR1H471MHD,Uni-Polar,Radial Lead,Standard,760,MP,Normal,3.43
50,1000,0.159,12.5,25,-40,85,0.12,2000,1500,800,UVR1H102MHD,Uni-Polar,Radial Lead,Standard,1350,MP,Normal,4.56
50,2200,0.084,16,35.5,-40,85,0.14,2000,3300,300,UVR1H222MHD,Uni-Polar,Radial Lead,Standard,2100,MP,Normal,11.8
50,3300,0.064,18,35.5,-40,85,0.16,2000,4950,250,UVR1H332MHD,Uni-Polar,Radial Lead,Standard,2500,MP,Normal,14.2
50,3300,0.064,22,30,-40,85,0.16,2000,4950,250,UVR1H332MRD6,Uni-Polar,Radial Lead,Standard,2450,EOL,Normal,16.6
50,4700,0.051,20,40,-40,85,0.18,2000,7050,150,UVR1H472MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,19.6
50,4700,0.051,25,30,-40,85,0.18,2000,7050,160,UVR1H472MRD6,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,21.5
50,6800,0.043,22,50,-40,85,0.22,2000,10200,250,UVR1H682MRD,Uni-Polar,Radial Lead,Standard,3500,EOL,Normal,27.4
50,6800,0.043,25,40,-40,85,0.22,2000,10200,180,UVR1H682MRD6,Uni-Polar,Radial Lead,Standard,3300,EOL,Normal,27.4
50,10000,0.04,25,50,-40,85,0.3,2000,15000,140,UVR1H103MRD,Uni-Polar,Radial Lead,Standard,4000,EOL,Normal,38.8
63,10,13.263,5,11,-40,85,0.1,2000,19,6000,UVR1J100MDD,Uni-Polar,Radial Lead,Standard,65,EOL,Normal,0.44
63,22,6.029,5,11,-40,85,0.1,2000,42,6000,UVR1J220MDD,Uni-Polar,Radial Lead,Standard,100,EOL,Normal,0.44
63,33,4.019,6.3,11,-40,85,0.1,2000,62,4000,UVR1J330MED,Uni-Polar,Radial Lead,Standard,140,EOL,Normal,0.59
63,47,2.822,6.3,11,-40,85,0.1,2000,89,4000,UVR1J470MED,Uni-Polar,Radial Lead,Standard,170,EOL,Normal,0.59
63,100,1.326,10,12.5,-40,85,0.1,2000,189,2000,UVR1J101MPD,Uni-Polar,Radial Lead,Standard,300,MP,Normal,1.49
63,220,0.603,10,16,-40,85,0.1,2000,416,1800,UVR1J221MPD,Uni-Polar,Radial Lead,Standard,490,MP,Normal,1.77
63,330,0.402,10,20,-40,85,0.1,2000,624,1400,UVR1J331MPD,Uni-Polar,Radial Lead,Standard,710,MP,Normal,2.34
63,470,0.282,12.5,20,-40,85,0.1,2000,888,1000,UVR1J471MHD,Uni-Polar,Radial Lead,Standard,900,MP,Normal,3.43
63,1000,0.133,16,25,-40,85,0.1,2000,1890,400,UVR1J102MHD,Uni-Polar,Radial Lead,Standard,1300,MP,Normal,8.2
63,2200,0.072,18,35.5,-40,85,0.12,2000,4158,250,UVR1J222MHD,Uni-Polar,Radial Lead,Standard,2300,MP,Normal,14.2
63,3300,0.056,20,40,-40,85,0.14,2000,6237,150,UVR1J332MRD,Uni-Polar,Radial Lead,Standard,2700,EOL,Normal,19.6
63,3300,0.056,25,30,-40,85,0.14,2000,6237,160,UVR1J332MRD6,Uni-Polar,Radial Lead,Standard,2600,EOL,Normal,21.5
63,4700,0.045,22,50,-40,85,0.16,2000,8883,250,UVR1J472MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,Normal,27.4
63,4700,0.045,25,40,-40,85,0.16,2000,8883,180,UVR1J472MRD6,Uni-Polar,Radial Lead,Standard,3200,EOL,Normal,27.4
63,6800,0.039,25,50,-40,85,0.2,2000,12852,140,UVR1J682MRD,Uni-Polar,Radial Lead,Standard,3900,EOL,Normal,38.8
100,2.2,48.229,5,11,-40,85,0.08,2000,7,6000,UVR2A2R2MDD,Uni-Polar,Radial Lead,Standard,30,EOL,Normal,0.44
100,3.3,32.153,5,11,-40,85,0.08,2000,10,6000,UVR2A3R3MDD,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.44
100,4.7,22.575,5,11,-40,85,0.08,2000,14,6000,UVR2A4R7MDD,Uni-Polar,Radial Lead,Standard,45,EOL,Normal,0.44
100,10,10.61,6.3,11,-40,85,0.08,2000,30,4000,UVR2A100MED,Uni-Polar,Radial Lead,Standard,75,EOL,Normal,0.59
100,22,4.823,6.3,11,-40,85,0.08,2000,66,4000,UVR2A220MED,Uni-Polar,Radial Lead,Standard,130,EOL,Normal,0.59
100,33,3.215,8,11.5,-40,85,0.08,2000,99,3000,UVR2A330MPD,Uni-Polar,Radial Lead,Standard,180,MP,Normal,1.19
100,47,2.258,10,12.5,-40,85,0.08,2000,141,2000,UVR2A470MPD,Uni-Polar,Radial Lead,Standard,230,MP,Normal,1.49
100,100,1.061,10,20,-40,85,0.08,2000,300,1400,UVR2A101MPD,Uni-Polar,Radial Lead,Standard,370,MP,Normal,2.34
100,220,0.482,12.5,25,-40,85,0.08,2000,660,800,UVR2A221MHD,Uni-Polar,Radial Lead,Standard,620,MP,Normal,4.56
100,330,0.322,12.5,25,-40,85,0.08,2000,990,800,UVR2A331MHD,Uni-Polar,Radial Lead,Standard,760,MP,Normal,4.56
100,470,0.226,16,25,-40,85,0.08,2000,1410,400,UVR2A471MHD,Uni-Polar,Radial Lead,Standard,1000,MP,Normal,8.2
100,1000,0.106,18,40,-40,85,0.08,2000,3000,200,UVR2A102MHD,Uni-Polar,Radial Lead,Standard,1380,MP,Normal,17.7
100,2200,0.06,22,50,-40,85,0.1,2000,6600,250,UVR2A222MRD,Uni-Polar,Radial Lead,Standard,2400,EOL,Normal,27.4
100,2200,0.06,25,40,-40,85,0.1,2000,6600,180,UVR2A222MRD6,Uni-Polar,Radial Lead,Standard,2400,EOL,Normal,27.4
100,3300,0.048,25,50,-40,85,0.12,2000,9900,140,UVR2A332MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,38.8
