Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
220,82,0.2,10,30,3.235,1250,1050,500,750,650,400,400,18040
220,100,0.2,10,35,2.653,1440,1280,640,960,832,512,512,22000
220,100,0.2,12.5,25,2.653,1395,1240,620,930,806,496,496,22000
220,100,0.2,14.5,20,2.653,1350,1200,600,900,780,480,480,22000
220,120,0.2,10,45,2.21,1688,1500,750,1125,975,600,600,26400
220,120,0.2,12.5,30,2.21,1665,1480,740,1110,962,592,592,26400
220,120,0.2,14.5,25,2.21,1688,1500,750,1125,975,600,600,26400
220,120,0.2,16,20,2.21,1530,1360,680,1020,884,544,544,26400
220,150,0.2,12.5,35,1.768,1980,1760,880,1320,1144,704,704,33000
220,150,0.2,18,20,1.768,1868,1660,830,1245,1079,664,664,33000
220,180,0.2,12.5,40,1.474,2295,2040,1020,1530,1326,816,816,39600
220,180,0.2,14.5,30,1.474,2048,1820,910,1365,1183,728,728,39600
220,180,0.2,16,25,1.474,2025,1800,900,1350,1170,720,720,39600
220,220,0.2,12.5,45,1.206,2363,2100,1050,1575,1365,840,840,48400
220,220,0.2,14.5,35,1.206,2340,2080,1040,1560,1352,832,832,48400
220,220,0.2,16,30,1.206,2318,2060,1030,1545,1339,824,824,48400
220,220,0.2,18,25,1.206,2228,1980,990,1485,1287,792,792,48400
220,270,0.2,14.5,45,0.982,2600,2470,1300,1950,1690,1040,1040,59400
220,270,0.2,16,35,0.982,2380,2261,1190,1785,1547,952,952,59400
220,270,0.2,18,30,0.982,2340,2223,1170,1755,1521,936,936,59400
220,330,0.2,14.5,50,0.804,2820,2679,1410,2115,1833,1128,1128,72600
220,330,0.2,16,40,0.804,2720,2584,1360,2040,1768,1088,1088,72600
220,330,0.2,18,35,0.804,2700,2565,1350,2025,1755,1080,1080,72600
220,390,0.2,16,45,0.68,2960,2812,1480,2220,1924,1184,1184,85800
220,390,0.2,18,40,0.68,3100,2945,1550,2325,2015,1240,1240,85800
220,470,0.2,18,45,0.564,3380,3211,1690,2535,2197,1352,1352,103400
220,560,0.2,18,50,0.474,3600,3420,1800,2700,2340,1440,1440,123200
250,27,0.2,10,16,9.824,650,546,260,390,338,208,208,6750
250,39,0.2,10,20,6.801,800,672,320,480,416,256,256,9750
250,47,0.2,10,25,5.644,975,819,390,585,507,312,312,11750
250,47,0.2,16,16,5.644,1350,1134,540,810,702,432,432,11750
250,56,0.2,12.5,20,4.737,1350,1134,540,810,702,432,432,14000
250,56,0.2,18,16,4.737,1550,1302,620,930,806,496,496,14000
250,68,0.2,10,30,3.901,1250,1050,500,750,650,400,400,17000
