Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
50,1000,0.057,12.5,35,0.1,0.159,1.67,1.58,1.0,1.45,0.067,0.021,EKZN500E□□102MK35S,3810,50000.0
50,1200,0.048,16,25,0.1,0.133,1.67,1.58,1.0,1.45,0.07,0.022,EKZN500E□□122ML25S,3510,60000.0
50,1200,0.048,18,20,0.1,0.133,1.67,1.58,1.0,1.45,0.075,0.025,EKZN500E□□122MM20S,3120,60000.0
50,1500,0.038,16,31.5,0.1,0.106,1.67,1.58,1.0,1.45,0.057,0.019,EKZN500E□□152MLN3S,4030,75000.0
50,1500,0.038,18,25,0.1,0.106,1.67,1.58,1.0,1.45,0.063,0.021,EKZN500E□□152MM25S,3530,75000.0
50,1800,0.032,16,35.5,0.1,0.088,1.67,1.58,1.0,1.45,0.048,0.016,EKZN500E□□182MLP1S,4220,90000.0
50,2200,0.048,16,40,0.1,0.084,1.33,1.27,1.0,1.2,0.042,0.014,EKZN500E□□222ML40S,4500,110000.0
50,2200,0.048,18,31.5,0.1,0.084,1.33,1.27,1.0,1.2,0.048,0.016,EKZN500E□□222MMN3S,4080,110000.0
50,2700,0.039,18,35.5,0.1,0.069,1.33,1.27,1.0,1.2,0.039,0.013,EKZN500E□□272MMP1S,4270,135000.0
50,3300,0.036,18,40,0.1,0.064,1.33,1.27,1.0,1.2,0.036,0.012,EKZN500E□□332MM40S,4850,165000.0
63,18,1.061,5,11,0.09,6.631,2.5,2.25,1.0,1.88,2.3,0.52,EKZN630E□□180ME11D,240,1134.0
63,39,0.49,6.3,11,0.09,3.061,2.5,2.25,1.0,1.88,1.1,0.24,EKZN630E□□390MF11D,420,2457.0
63,68,0.281,8,11.5,0.09,1.755,2.5,2.25,1.0,1.88,0.68,0.15,EKZN630E□□680MHB5D,720,4284.0
63,100,0.191,8,15,0.09,1.194,2.5,2.25,1.0,1.88,0.45,0.1,EKZN630E□□101MH15D,990,6300.0
63,120,0.159,8,20,0.09,0.995,2.5,2.25,1.0,1.88,0.35,0.077,EKZN630E□□121MH20D,1200,7560.0
63,120,0.159,10,12.5,0.09,0.995,2.5,2.25,1.0,1.88,0.36,0.09,EKZN630E□□121MJC5S,990,7560.0
63,180,0.106,10,16,0.09,0.663,2.5,2.25,1.0,1.88,0.25,0.061,EKZN630E□□181MJ16S,1200,11340.0
63,270,0.111,10,20,0.09,0.442,2.0,1.88,1.0,1.7,0.18,0.045,EKZN630E□□271MJ20S,1570,17010.0
63,270,0.111,12.5,16,0.09,0.442,2.0,1.88,1.0,1.7,0.18,0.058,EKZN630E□□271MK16S,1570,17010.0
63,330,0.09,10,25,0.09,0.362,2.0,1.88,1.0,1.7,0.12,0.037,EKZN630E□□331MJ25S,1990,20790.0
