Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
450,47,7.055,12.5,35,0.25,1.2,0.48
450,47,7.055,12.5,40,0.25,1.313,0.525
450,47,7.055,14.5,30,0.25,1.288,0.515
450,47,7.055,16,25,0.25,1.25,0.5
450,47,7.055,18,20,0.25,1.15,0.46
450,56,5.921,12.5,40,0.25,1.35,0.54
450,56,5.921,12.5,45,0.25,1.475,0.59
450,56,5.921,14.5,30,0.25,1.35,0.54
450,56,5.921,14.5,35,0.25,1.45,0.58
450,56,5.921,16,25,0.25,1.325,0.53
450,56,5.921,16,30,0.25,1.463,0.585
450,56,5.921,18,25,0.25,1.4,0.56
450,68,4.876,12.5,45,0.25,1.525,0.61
450,68,4.876,12.5,50,0.25,1.675,0.67
450,68,4.876,14.5,35,0.25,1.55,0.62
450,68,4.876,14.5,40,0.25,1.65,0.66
450,68,4.876,16,30,0.25,1.525,0.61
450,68,4.876,16,35,0.25,1.65,0.66
450,68,4.876,18,25,0.25,1.525,0.61
450,82,4.044,14.5,40,0.25,1.675,0.67
450,82,4.044,14.5,45,0.25,1.85,0.74
450,82,4.044,16,35,0.25,1.725,0.69
450,82,4.044,16,40,0.25,1.875,0.75
450,82,4.044,18,30,0.25,1.825,0.73
450,100,3.316,14.5,50,0.25,1.823,0.81
450,100,3.316,16,40,0.25,1.733,0.77
450,100,3.316,16,45,0.25,1.89,0.84
450,100,3.316,18,30,0.25,1.688,0.75
450,100,3.316,18,35,0.25,1.879,0.835
450,120,2.763,16,45,0.25,1.98,0.88
450,120,2.763,18,35,0.25,1.935,0.86
450,120,2.763,18,40,0.25,2.093,0.93
450,150,2.21,18,45,0.25,2.25,1.0
450,150,2.21,18,50,0.25,2.385,1.06
450,180,1.842,18,50,0.25,2.475,1.1
