Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current 105C@100kHz (mA rms),Impedance (Ω) 20C@100kHz,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
63.0,100.0,8.0,15.0,741,0.068,8000,0.6,3.5,5.0,—,EEUFR1J101L( ),200,1000
63.0,100.0,10.0,12.5,761,0.063,6000,0.6,5.0,5.0,—,EEUFR1J101( ),200,500
63.0,120.0,8.0,20.0,930,0.05,9000,0.6,3.5,5.0,—,EEUFR1J121L( ),200,1000
63.0,120.0,10.0,16.0,1073,0.045,8000,0.6,5.0,5.0,—,EEUFR1J121( ),200,500
63.0,150.0,8.0,20.0,930,0.05,9000,0.6,3.5,5.0,—,EEUFR1J151L( ),200,1000
63.0,150.0,10.0,16.0,1073,0.045,8000,0.6,5.0,5.0,—,EEUFR1J151( ),200,500
63.0,180.0,10.0,20.0,1229,0.035,10000,0.6,5.0,5.0,—,EEUFR1J181( ),200,500
63.0,220.0,10.0,25.0,1500,0.033,10000,0.6,5.0,5.0,—,EEUFR1J221L( ),200,500
63.0,270.0,10.0,20.0,1229,0.035,10000,0.6,5.0,5.0,—,EEUFR1J271U( ),200,500
63.0,270.0,10.0,25.0,1500,0.033,10000,0.6,5.0,5.0,—,EEUFR1J271L( ),200,500
63.0,330.0,12.5,20.0,1582,0.033,10000,0.6,5.0,5.0,—,EEUFR1J271( ),200,500
63.0,390.0,12.5,25.0,1995,0.027,10000,0.6,5.0,5.0,—,EEUFR1J391( ),200,500
63.0,470.0,12.5,25.0,1995,0.027,10000,0.6,5.0,5.0,—,EEUFR1J471( ),200,500
63.0,560.0,12.5,30.0,2528,0.024,10000,0.8,5.0,—,—,EEUFR1J561L,100,—
63.0,560.0,16.0,20.0,2153,0.029,10000,0.8,7.5,7.5,—,EEUFR1J561S( ),100,250
63.0,680.0,12.5,35.0,2780,0.021,10000,0.8,5.0,—,—,EEUFR1J681L,100,—
63.0,820.0,16.0,25.0,2988,0.024,10000,0.8,7.5,7.5,—,EEUFR1J821( ),100,250
100.0,100.0,10.0,20.0,1500,0.084,10000,0.6,5.0,5.0,—,EEUFR2A101( ),200,500
