Rated voltage (V),Rated capacitance (µF),Case φDxL (mm),Size code,Impedance (Ωmax.) 20℃,Impedance (Ωmax.) -10℃,Rated ripple current (mArms)
100.0,68.0,10 × 16,F16,0.11,0.47,600.0
100.0,82.0,10 × 20,F20,0.084,0.34,800.0
100.0,100.0,12.5 × 15,G15,0.11,0.34,750.0
100.0,120.0,10 × 25,F25,0.069,0.28,900.0
100.0,150.0,12.5 × 20,G20,0.062,0.18,1100.0
100.0,180.0,,,,,
100.0,220.0,16 × 20,J20,0.048,0.15,1350.0
100.0,270.0,12.5 × 30,G30,0.042,0.13,1500.0
100.0,330.0,12.5 × 35,G35,0.036,0.11,1650.0
100.0,330.0,16 × 25,J25,0.038,0.12,1700.0
100.0,330.0,18 × 20,K20,0.045,0.14,1500.0
100.0,390.0,12.5 × 40,G40,0.032,0.095,1800.0
100.0,470.0,16 × 31.5,J31,0.032,0.095,1850.0
100.0,470.0,18 × 25,K25,0.036,0.11,1750.0
100.0,560.0,16 × 35.5,J35,0.029,0.086,2000.0
100.0,560.0,18 × 31.5,K31,0.03,0.09,1900.0
100.0,680.0,16 × 40,J40,0.027,0.081,2480.0
100.0,680.0,18 × 35.5,K35,0.027,0.081,2200.0
100.0,820.0,18 × 40,K40,0.026,0.077,2700.0
100.0,1000.0,,,,,
100.0,1200.0,,,,,
100.0,1500.0,,,,,
100.0,1800.0,,,,,
