Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVY1J331MPD,MP,63.0,330.00,10.0,20.0,-55,105,2000,2.34,0.10,624,510,,,,,,,,1400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J471MHD,MP,63.0,470.00,12.5,20.0,-55,105,2000,3.43,0.10,888,640,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J102MHD,MP,63.0,1000.00,16.0,25.0,-55,105,2000,8.20,0.10,1890,930,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J222MHD,MP,63.0,2200.00,18.0,35.5,-55,105,2000,14.20,0.12,4158,1650,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J332MRD,EOL,63.0,3300.00,20.0,40.0,-55,105,2000,19.60,0.14,6237,1950,,,,,,,,150,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J472MRD,EOL,63.0,4700.00,22.0,50.0,-55,105,2000,27.40,0.16,8883,2450,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J682MRD,EOL,63.0,6800.00,25.0,50.0,-55,105,2000,38.80,0.20,12852,2800,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A2R2MDD,EOL,100.0,2.20,5.0,11.0,-55,105,1000,0.44,0.08,7,21,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A3R3MDD,EOL,100.0,3.30,5.0,11.0,-55,105,1000,0.44,0.08,10,29,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A4R7MDD,EOL,100.0,4.70,5.0,11.0,-55,105,1000,0.44,0.08,14,32,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A100MDD,EOL,100.0,10.00,5.0,11.0,-55,105,1000,0.44,0.08,30,50,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A220MED,EOL,100.0,22.00,6.3,11.0,-55,105,1000,0.59,0.08,66,93,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A330MPD,MP,100.0,33.00,8.0,11.5,-55,105,1000,1.19,0.08,99,130,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A470MPD,MP,100.0,47.00,8.0,11.5,-55,105,1000,1.19,0.08,141,140,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A680MPD,MP,100.0,68.00,10.0,12.5,-55,105,2000,1.49,0.08,204,190,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A101MPD,MP,100.0,100.00,10.0,16.0,-55,105,2000,1.77,0.08,300,240,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A221MHD,MP,100.0,220.00,12.5,20.0,-55,105,2000,3.43,0.08,660,390,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A331MHD,MP,100.0,330.00,12.5,25.0,-55,105,2000,4.56,0.08,990,540,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A471MHD,MP,100.0,470.00,16.0,25.0,-55,105,2000,8.20,0.08,1410,715,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A102MHD,MP,100.0,1000.00,18.0,35.5,-55,105,2000,14.20,0.08,3000,960,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A222MRD,EOL,100.0,2200.00,22.0,50.0,-55,105,2000,27.40,0.10,6600,1750,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2A332MRD,EOL,100.0,3300.00,25.0,50.0,-55,105,2000,38.80,0.12,9900,2070,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C100MPD,MP,160.0,10.00,8.0,11.5,-40,105,1000,1.19,0.20,164,41,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C220MPD,MP,160.0,22.00,10.0,12.5,-40,105,2000,1.49,0.20,241,92,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C330MPD,MP,160.0,33.00,10.0,16.0,-40,105,2000,1.77,0.20,311,125,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C470MPD,MP,160.0,47.00,10.0,20.0,-40,105,2000,2.34,0.20,401,150,,,,,,,,1400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C680MHD,MP,160.0,68.00,12.5,20.0,-40,105,2000,3.43,0.20,535,250,,,,,,,,1000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C101MHD,MP,160.0,100.00,12.5,25.0,-40,105,2000,4.56,0.20,740,310,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C221MHD,MP,160.0,220.00,16.0,30.5,-40,105,2000,9.60,0.20,1508,410,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C331MHD,MP,160.0,330.00,18.0,35.5,-40,105,2000,14.20,0.20,2212,570,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C471MHD,MP,160.0,470.00,18.0,40.0,-40,105,2000,17.70,0.20,3108,855,,,,,,,,200,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2C102MRD,EOL,160.0,1000.00,25.0,50.0,-40,105,2000,38.80,0.20,6500,1350,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2DR47MED,EOL,200.0,0.47,6.3,11.0,-40,105,1000,0.59,0.20,49,11,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D010MED,EOL,200.0,1.00,6.3,11.0,-40,105,1000,0.59,0.20,60,16,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D2R2MED,EOL,200.0,2.20,6.3,11.0,-40,105,1000,0.59,0.20,84,25,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D3R3MED,EOL,200.0,3.30,6.3,11.0,-40,105,1000,0.59,0.20,106,30,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D4R7MED,EOL,200.0,4.70,6.3,11.0,-40,105,1000,0.59,0.20,134,35,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D100MPD,MP,200.0,10.00,8.0,11.5,-40,105,1000,1.19,0.20,180,57,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY2D220MPD,MP,200.0,22.00,10.0,16.0,-40,105,2000,1.77,0.20,276,105,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
