Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHE1E470MDD,EOL,25.0,47.00,5.0,11.0,-40,105,5000,0.44,0.14,12,210,,,,,,2300,580,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E101MED,EOL,25.0,100.00,6.3,11.0,-40,105,5000,0.59,0.14,25,340,,,,,,870,220,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E221MPD,MP,25.0,220.00,8.0,11.5,-40,105,7000,1.19,0.14,55,640,,,,,,520,130,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E331MPD,MP,25.0,330.00,8.0,15.0,-40,105,7000,1.36,0.14,83,840,,,,,,350,87,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E331MPD6,MP,25.0,330.00,10.0,12.5,-40,105,7000,1.49,0.14,83,865,,,,,,320,80,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E471MPD,MP,25.0,470.00,8.0,20.0,-40,105,7000,1.66,0.14,118,1050,,,,,,270,69,2000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E471MPD6,MP,25.0,470.00,10.0,16.0,-40,105,7000,1.77,0.14,118,1210,,,,,,240,60,1800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E681MPD,MP,25.0,680.00,10.0,20.0,-40,105,7000,2.34,0.14,170,1400,,,,,,180,46,1400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E681MHD6,MP,25.0,680.00,12.5,15.0,-40,105,10000,2.96,0.14,170,1450,,,,,,160,49,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E821MPD,MP,25.0,820.00,10.0,25.0,-40,105,7000,3.07,0.14,205,1650,,,,,,170,42,1200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E102MPD,MP,25.0,1000.00,10.0,30.5,-40,105,7000,3.21,0.14,250,1910,,,,,,120,31,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E102MHD6,MP,25.0,1000.00,12.5,20.0,-40,105,10000,3.43,0.14,250,1900,,,,,,120,35,1000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E102MHD3,MP,25.0,1000.00,16.0,15.0,-40,105,10000,4.74,0.14,250,1940,,,,,,120,42,700,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E122MHD,MP,25.0,1200.00,18.0,15.0,-40,105,10000,6.31,0.14,300,2210,,,,,,110,43,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E152MHD,MP,25.0,1500.00,12.5,25.0,-40,105,10000,4.56,0.14,375,2230,,,,,,89,27,800,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E182MHD,MP,25.0,1800.00,12.5,30.5,-40,105,10000,6.01,0.14,450,2650,,,,,,78,24,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E182MHD6,MP,25.0,1800.00,16.0,20.0,-40,105,10000,6.60,0.14,450,2530,,,,,,78,27,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E222MHD,MP,25.0,2200.00,12.5,35.5,-40,105,10000,7.06,0.16,550,2880,,,,,,65,20,500,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E222MHD6,MP,25.0,2200.00,18.0,20.0,-40,105,10000,9.00,0.16,550,2860,,,,,,67,26,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E272MHD,MP,25.0,2700.00,12.5,40.0,-40,105,10000,7.57,0.16,675,3350,,,,,,56,17,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E272MHD6,MP,25.0,2700.00,16.0,25.0,-40,105,10000,8.20,0.16,675,2930,,,,,,60,21,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E332MHD,MP,25.0,3300.00,16.0,30.5,-40,105,10000,9.60,0.18,825,3450,,,,,,50,17,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E332MHD6,MP,25.0,3300.00,18.0,25.0,-40,105,10000,10.60,0.18,825,3140,,,,,,49,19,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E392MHD,MP,25.0,3900.00,16.0,35.5,-40,105,10000,11.80,0.18,975,3610,,,,,,44,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E392MHD6,MP,25.0,3900.00,18.0,30.5,-40,105,10000,13.10,0.18,975,4170,,,,,,40,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E472MHD,MP,25.0,4700.00,16.0,40.0,-40,105,10000,14.10,0.20,1175,4080,,,,,,38,13,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E472MHD6,MP,25.0,4700.00,18.0,35.5,-40,105,10000,14.20,0.20,1175,4220,,,,,,38,14,250,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1E562MHD,MP,25.0,5600.00,18.0,40.0,-40,105,10000,17.70,0.22,1400,4280,,,,,,32,12,200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1V330MDD,EOL,35.0,33.00,5.0,11.0,-40,105,5000,0.44,0.12,12,210,,,,,,2300,580,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
