Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ1A682MHD,MP,10.0,6800.00,16.0,35.5,-55,105,5000,11.80,0.29,2040,2680,2410.0,,,,,0.06,0.024,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A682MHD6,MP,10.0,6800.00,18.0,30.5,-55,105,5000,13.10,0.29,2040,2540,2280.0,,,,,0.068,0.027,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A822MHD,MP,10.0,8200.00,16.0,40.0,-55,105,5000,14.10,0.33,2460,2820,2530.0,,,,,0.058,0.023,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A822MHD6,MP,10.0,8200.00,18.0,35.5,-55,105,5000,14.20,0.33,2460,2690,2420.0,,,,,0.063,0.025,250,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A103MHD,MP,10.0,10000.00,18.0,40.0,-55,105,5000,17.70,0.37,3000,3040,2730.0,,,,,0.053,0.021,200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,2000,0.44,0.16,23,155,92.0,,,,,3.3,1.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C560MDD,EOL,16.0,56.00,5.0,11.0,-55,105,2000,0.44,0.16,27,175,105.0,,,,,2.8,1.1,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C680MED,EOL,16.0,68.00,6.3,11.0,-55,105,2000,0.59,0.16,33,220,135.0,,,,,2.0,0.78,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C820MED,EOL,16.0,82.00,6.3,11.0,-55,105,2000,0.59,0.16,39,240,155.0,,,,,1.7,0.66,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C101MED,EOL,16.0,100.00,6.3,11.0,-55,105,2000,0.59,0.16,48,265,175.0,,,,,1.4,0.55,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C121MED,EOL,16.0,120.00,6.3,11.0,-55,105,2000,0.59,0.16,58,290,195.0,,,,,1.1,0.45,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C151MED,EOL,16.0,150.00,6.3,15.0,-55,105,2000,0.72,0.16,72,375,260.0,,,,,0.93,0.37,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C181MED,EOL,16.0,180.00,6.3,15.0,-55,105,2000,0.72,0.16,86,405,285.0,,,,,0.78,0.31,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C221MPD,MP,16.0,220.00,8.0,11.5,-55,105,3000,1.19,0.16,106,460,335.0,,,,,0.65,0.26,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C271MPD,MP,16.0,270.00,8.0,15.0,-55,105,3000,1.36,0.16,130,550,410.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1C271MPD6,MP,16.0,270.00,10.0,12.5,-55,105,5000,1.49,0.16,130,575,430.0,,,,,0.55,0.22,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
